Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
FAM171B		2q32.1	AMP	5	408	1.2%	No
ZAR1L		13q13.1	HOMDEL	9	408	2.2%	No
CDK8		13q12.13	AMP	5	408	1.2%	Yes
SUGP1		19p13.11	AMP	3	408	0.7%	No
OR1L6		9q33.2	HOMDEL	7	408	1.7%	No
CYFIP2		5q33.3	AMP	1	408	0.2%	No
KCNH2		7q36.1	HOMDEL	2	408	0.5%	No
NELFCD		20q13.32	AMP	4	408	1.0%	No
NANOS1		10q26.11	HOMDEL	9	408	2.2%	No
SCGB3A1		5q35.3	AMP	1	408	0.2%	No
TEX30		13q33.1	AMP	11	408	2.7%	No
DHX40		17q23.1	AMP	15	408	3.7%	No
CFAP410		21q22.3	HOMDEL	2	408	0.5%	No
EMX2OS		10q26.11	AMP	2	408	0.5%	No
CEP295		11q21	HOMDEL	1	408	0.2%	No
EMX2		10q26.11	HOMDEL	10	408	2.5%	No
PPP1R42		8q13.1	AMP	15	408	3.7%	No
CDK2		12q13.2	AMP	7	408	1.7%	No
SLC9C2		1q25.1	HOMDEL	1	408	0.2%	No
SIGLEC15		18q21.1	AMP	5	408	1.2%	No
SNORA49		12q24.33	HOMDEL	1	408	0.2%	No
HSPBAP1		3q21.1	AMP	5	408	1.2%	No
AIG1		6q24.2	AMP	2	408	0.5%	No
SCARNA22		4p16.3	HOMDEL	3	408	0.7%	No
HPS4		22q12.1	HOMDEL	3	408	0.7%	No
LAYN		11q23.1	AMP	2	408	0.5%	No
STAT6		12q13.3	AMP	4	408	1.0%	Yes
RN7SL372P		1q21.3	AMP	29	408	7.1%	No
APBA1		9q21.12	HOMDEL	4	408	1.0%	No
FAM200A		7q22.1	AMP	7	408	1.7%	No
FGF8		10q24.32	AMP	1	408	0.2%	Yes
CDK3		17q25.1	AMP	14	408	3.4%	No
SIGLEC16		19q13.33	AMP	7	408	1.7%	No
OR1L1		9q33.2	HOMDEL	4	408	1.0%	No
HPS5		11p15.1	HOMDEL	4	408	1.0%	No
PHYHD1		9q34.11	AMP	2	408	0.5%	No
GADL1		3p24.1-p23	AMP	2	408	0.5%	No
SNORD14C		11q23.3-q25	HOMDEL	3	408	0.7%	No
SNORA48		17p13.1	HOMDEL	3	408	0.7%	No
FAM157B		9q34.3	HOMDEL	5	408	1.2%	No
SCARNA23		Xp22.11	HOMDEL	2	408	0.5%	No
GGNBP2		17q12	AMP	8	408	2.0%	No
APBA3		19p13.3	HOMDEL	1	408	0.2%	No
FAM156B		Xp11.22	AMP	1	408	0.2%	No
RETN		19p13.2	AMP	3	408	0.7%	No
ODF2		9q34.11	HOMDEL	2	408	0.5%	No
TIMM10B		11p15.4	HOMDEL	4	408	1.0%	No
POM121L1P		22q11.22	AMP	14	408	3.4%	No
HPS6		10q24.32	HOMDEL	7	408	1.7%	No
PAXIP1		7q36.2	HOMDEL	4	408	1.0%	No
FGF6		12p13.32	AMP	7	408	1.7%	Yes
CDK4		12q14.1	AMP	6	408	1.5%	Yes
FAM201A		9p13.1	HOMDEL	4	408	1.0%	No
FAM157C		16q24.3	HOMDEL	4	408	1.0%	No
TBXA2R		19p13.3	AMP	2	408	0.5%	No
FBXL21P		5q31.1	AMP	1	408	0.2%	No
SNORD14A		11p15.1	HOMDEL	5	408	1.2%	No
CYP27B1		12q14.1	AMP	6	408	1.5%	No
APBA2		15q13.1	HOMDEL	6	408	1.5%	No
FAM156A		Xp11.22	AMP	1	408	0.2%	No
GLRB		4q32.1	HOMDEL	7	408	1.7%	No
LMBR1L		12q13.12	AMP	2	408	0.5%	No
CAMK2G		10q22.2	AMP	9	408	2.2%	No
SNORD14B		11p15.1	HOMDEL	5	408	1.2%	No
DEK		6p22.3	AMP	30	408	7.4%	Yes
SNORA47		5q13.3	HOMDEL	7	408	1.7%	No
CDK5		7q36.1	AMP	3	408	0.7%	No
PCIF1		20q13.12	AMP	8	408	2.0%	No
OPN1LW		Xq28	AMP	9	408	2.2%	No
FGF7		15q21.2	AMP	2	408	0.5%	Yes
TMEM102		17p13.1	HOMDEL	7	408	1.7%	No
RNU6ATAC29P		3p21.2	AMP	4	408	1.0%	No
OR5M11		11q12.1	AMP	7	408	1.7%	No
UBE2G1		17p13.2	HOMDEL	8	408	2.0%	No
FAM120AOS		9q22.31	AMP	4	408	1.0%	No
GALNT17		7q11.22	HOMDEL	2	408	0.5%	No
IGFBP5		2q35	HOMDEL	8	408	2.0%	No
RNU12		22q13.2	HOMDEL	2	408	0.5%	No
NOL8		9q22.31	AMP	5	408	1.2%	No
SMYD2		1q32.3	AMP	1	408	0.2%	No
KCNH8		3p24.3	HOMDEL	1	408	0.2%	No
PPP1R3G		6p25.1	AMP	6	408	1.5%	No
CAMK2D		4q26	AMP	1	408	0.2%	No
TRAV17		14q11.2	AMP	9	408	2.2%	No
TUBB		6p21.33	AMP	12	408	2.9%	No
AGAP6		10q11.23	AMP	6	408	1.5%	No
RNU6ATAC2P		5q11.2	HOMDEL	8	408	2.0%	No
GABPA		21q21.3	AMP	4	408	1.0%	No
RPGR		Xp11.4	HOMDEL	1	408	0.2%	No
RAB41		Xq13.1	AMP	1	408	0.2%	No
POLR3G		5q14.3	HOMDEL	5	408	1.2%	No
MIAT		22q12.1	HOMDEL	3	408	0.7%	No
RN7SL34P		19q13.2	AMP	7	408	1.7%	No
RPL29P2		17p13.1	AMP	1	408	0.2%	No
SMYD3		1q44	AMP	7	408	1.7%	Yes
NOL9		1p36.31	AMP	2	408	0.5%	No
GALNT18		11p15.4	HOMDEL	5	408	1.2%	No
C16ORF95		16q24.2	HOMDEL	2	408	0.5%	No
IGFBP6		12q13.13	HOMDEL	1	408	0.2%	No
RNA5SP18		1q42.13	HOMDEL	1	408	0.2%	No
AGAP5		10q22.2	AMP	8	408	2.0%	No
RN7SL667P		Xq28	AMP	7	408	1.7%	No
TSC22D1		13q14.11	HOMDEL	19	408	4.7%	No
EPDR1		7p14.1	HOMDEL	2	408	0.5%	No
PPP1R3F		Xp11.23	AMP	2	408	0.5%	No
SIGLEC12		19q13.41	AMP	10	408	2.5%	No
MS4A6A		11q12.2	AMP	8	408	2.0%	No
SDE2		1q42.12	AMP	1	408	0.2%	No
LCN15		9q34.3	HOMDEL	4	408	1.0%	No
FABP2		4q26	HOMDEL	1	408	0.2%	No
MIR124-1HG		8p23.1	HOMDEL	30	408	7.4%	No
TPTE2P1		13q12.13	HOMDEL	2	408	0.5%	No
TRAV18		14q11.2	AMP	9	408	2.2%	No
C16ORF96		16p13.3	HOMDEL	7	408	1.7%	No
SMYD1		2p11.2	AMP	4	408	1.0%	No
NOL7		6p23	AMP	24	408	5.9%	No
LINC02877		3q25.2	AMP	14	408	3.4%	No
CMC2		16q23.2	HOMDEL	3	408	0.7%	No
TRGV1		7p14.1	AMP	8	408	2.0%	No
PPP1R3E		14q11.2	AMP	9	408	2.2%	No
OTUB2		14q32.12	HOMDEL	6	408	1.5%	No
UBE2G2		21q22.3	HOMDEL	3	408	0.7%	No
FAF2		5q35.2	HOMDEL	5	408	1.2%	No
TRAV19		14q11.2	AMP	9	408	2.2%	No
CKAP2L		2q14.1	AMP	4	408	1.0%	No
PPP1R3D		20q13.33	AMP	3	408	0.7%	No
ANKRD18DP		3q29	AMP	18	408	4.4%	No
POLR3D		8p21.3	HOMDEL	29	408	7.1%	No
SNORD35A		19q13.33	AMP	7	408	1.7%	No
MIXL1		1q42.12	HOMDEL	1	408	0.2%	No
GALNT16		14q24.1	HOMDEL	1	408	0.2%	No
LINC02876		17q22	AMP	11	408	2.7%	No
FABP3		1p35.2	HOMDEL	1	408	0.2%	No
SIGLEC14		19q13.41	AMP	10	408	2.5%	No
EFCC1		3q21.3	HOMDEL	1	408	0.2%	No
TSC22D3		Xq22.3	HOMDEL	2	408	0.5%	No
FZD10		12q24.33	HOMDEL	2	408	0.5%	No
RGP1		9p13.3	AMP	8	408	2.0%	No
EEFSEC		3q21.3	HOMDEL	1	408	0.2%	No
CDK9		9q34.11	AMP	1	408	0.2%	No
CAMK2A		5q32	AMP	3	408	0.7%	No
CRNDE		16q12.2	HOMDEL	1	408	0.2%	No
RAB44		6p21.2	AMP	4	408	1.0%	No
LCN10		9q34.3	HOMDEL	4	408	1.0%	No
PTENP1		9p13.3	AMP	4	408	1.0%	No
RN7SL401P		18q22.3	AMP	2	408	0.5%	No
SEMG2		20q13.12	AMP	13	408	3.2%	No
CISD3		17q12	AMP	11	408	2.7%	No
CAMK2B		7p13	AMP	3	408	0.7%	No
AGAP9		10q11.22	AMP	6	408	1.5%	No
DLAT		11q23.1	AMP	1	408	0.2%	No
OR5B2		11q12.1	HOMDEL	1	408	0.2%	No
SNORD35B		19q13.33	AMP	7	408	1.7%	No
ESX1		Xq22.2	AMP	3	408	0.7%	No
MIB2		1p36.33	HOMDEL	1	408	0.2%	No
GOLGA6L5P		15q25.2	HOMDEL	2	408	0.5%	No
IGFBP2		2q35	HOMDEL	8	408	2.0%	No
SIGLEC10		19q13.41	AMP	10	408	2.5%	No
SMYD4		17p13.3	AMP	3	408	0.7%	No
CCRL2		3p21.31	HOMDEL	3	408	0.7%	No
TSSC2		11p15.4	AMP	1	408	0.2%	No
NDEL1		17p13.1	HOMDEL	8	408	2.0%	No
CISD2		4q24	AMP	1	408	0.2%	No
MCTS1		Xq24	AMP	1	408	0.2%	No
KCNQ1OT1		11p15.5	HOMDEL	6	408	1.5%	No
RNA5SP19		1q42.13	HOMDEL	1	408	0.2%	No
METAP1		4q23	AMP	2	408	0.5%	No
OR13G1		1q44	AMP	6	408	1.5%	No
RAB43		3q21.3	AMP	5	408	1.2%	No
URB1-AS1		21q22.11	AMP	7	408	1.7%	No
TRPS1		8q23.3	HOMDEL	2	408	0.5%	No
FAM90A1		12p13.31	HOMDEL	2	408	0.5%	No
OR5B3		11q12.1	HOMDEL	1	408	0.2%	No
LCN12		9q34.3	HOMDEL	4	408	1.0%	No
FABP6		5q33.3	HOMDEL	3	408	0.7%	No
EEA1		12q22	AMP	9	408	2.2%	No
RN7SL657P		1p36.33	HOMDEL	1	408	0.2%	No
KCNH5		14q23.2	HOMDEL	1	408	0.2%	No
SIGLEC11		19q13.33	AMP	7	408	1.7%	No
RN7SL357P		4q12	AMP	7	408	1.7%	No
TPTE2P5		13q14.11	HOMDEL	19	408	4.7%	No
CHAD		17q21.33	AMP	11	408	2.7%	No
OR2L13		1q44	AMP	6	408	1.5%	No
OR5M10		11q12.1	AMP	7	408	1.7%	No
CMC4		Xq28	HOMDEL	5	408	1.2%	No
CISD1		10q21.1	AMP	3	408	0.7%	No
PPAN		19p13.2	AMP	4	408	1.0%	No
ST20-AS1		15q25.1	HOMDEL	1	408	0.2%	No
ZFP1		16q23.1	AMP	11	408	2.7%	No
TPTE2P6		13q12.12	AMP	5	408	1.2%	No
EDA2R		Xq12	HOMDEL	3	408	0.7%	No
METAP2		12q22	AMP	6	408	1.5%	No
POLR3A		10q22.3	HOMDEL	3	408	0.7%	No
RAB42		1p35.3	AMP	3	408	0.7%	No
ZNF789		7q22.1	AMP	7	408	1.7%	No
SMYD5		2p13.2	AMP	8	408	2.0%	No
PUS1		12q24.33	AMP	4	408	1.0%	No
KLRC4		12p13.2	AMP	5	408	1.2%	No
CTBP1		4p16.3	AMP	7	408	1.7%	No
C18ORF32		18q21.1	HOMDEL	3	408	0.7%	No
PHF8		Xp11.22	HOMDEL	2	408	0.5%	No
FGFR1OP2		12p11.23	AMP	10	408	2.5%	No
IRX1		5p15.33	HOMDEL	1	408	0.2%	No
PHRF1		11p15.5	HOMDEL	8	408	2.0%	No
TRAV10		14q11.2	AMP	9	408	2.2%	No
WFIKKN1		16p13.3	AMP	1	408	0.2%	No
TDP1		14q32.11	AMP	3	408	0.7%	No
PHEX		Xp22.11	HOMDEL	2	408	0.5%	No
SGK1		6q23.2	HOMDEL	3	408	0.7%	Yes
TRGV5		7p14.1	AMP	8	408	2.0%	No
AKAP8L		19p13.12	AMP	2	408	0.5%	No
KLRC3		12p13.2	AMP	5	408	1.2%	No
RAET1G		6q25.1	HOMDEL	6	408	1.5%	No
HEPH		Xq12	HOMDEL	4	408	1.0%	No
OGN		9q22.31	AMP	5	408	1.2%	No
MRPL4		19p13.2	AMP	5	408	1.2%	No
RN7SL826P		8q24.11	HOMDEL	1	408	0.2%	No
LINC00892		Xq26.3	HOMDEL	3	408	0.7%	No
BMS1P18		14q11.2	AMP	6	408	1.5%	No
F13B		1q31.3	HOMDEL	1	408	0.2%	No
KLRC2		12p13.2	AMP	5	408	1.2%	No
COL17A1		10q25.1	AMP	2	408	0.5%	No
IRX3		16q12.2	HOMDEL	3	408	0.7%	No
TRGV8		7p14.1	AMP	8	408	2.0%	No
MATK		19p13.3	HOMDEL	1	408	0.2%	No
UMPS		3q21.2	HOMDEL	1	408	0.2%	No
IVD		15q15.1	AMP	1	408	0.2%	No
CTBP2		10q26.13	AMP	1	408	0.2%	No
LENEP		1q21.3	HOMDEL	1	408	0.2%	No
ZNF793		19q13.12	AMP	20	408	4.9%	No
FAM149B1		10q22.2	HOMDEL	3	408	0.7%	No
DDX10		11q22.3	HOMDEL	4	408	1.0%	Yes
ZNF70		22q11.23	AMP	8	408	2.0%	No
ADIPOQ		3q27.3	AMP	18	408	4.4%	No
IRX4		5p15.33	HOMDEL	2	408	0.5%	No
PDP2		16q22.1	HOMDEL	1	408	0.2%	No
TTC19		17p12	HOMDEL	14	408	3.4%	No
TDP2		6p22.3	AMP	24	408	5.9%	No
CRYGEP		2q33.3	HOMDEL	5	408	1.2%	No
ACTL6A		3q26.33	AMP	19	408	4.7%	No
FTCD		21q22.3	AMP	4	408	1.0%	No
MLN		6p21.31	AMP	2	408	0.5%	No
ZNF792		19q13.11	AMP	13	408	3.2%	No
LDLRAD4		18p11.21	HOMDEL	1	408	0.2%	No
EPC1		10p11.22	AMP	6	408	1.5%	No
PPP1R3C		10q23.32	AMP	3	408	0.7%	No
RN7SL19P		8q13.3	AMP	17	408	4.2%	No
KLRC1		12p13	AMP	5	408	1.2%	No
IGLL5		22q11.22	AMP	14	408	3.4%	No
EMC10		19q13.33	AMP	7	408	1.7%	No
RPS10P7		1q32.1	HOMDEL	5	408	1.2%	No
IRX5		16q12.2	HOMDEL	1	408	0.2%	No
MTRR		5p15.31	AMP	40	408	9.8%	No
MFHAS1		8p23.1	HOMDEL	32	408	7.8%	No
GHITM		10q23.1	HOMDEL	4	408	1.0%	No
POGLUT3		11q22.3	AMP	3	408	0.7%	No
RN7SL711P		5q23.2	AMP	1	408	0.2%	No
TMA16		4q32.2	AMP	1	408	0.2%	No
OR13F1		9q31.1	HOMDEL	4	408	1.0%	No
RTKN2		10q21.2	HOMDEL	4	408	1.0%	No
MRPL9		1q21.3	AMP	39	408	9.6%	No
TOB2		22q13.2	HOMDEL	2	408	0.5%	No
WDSUB1		2q24.2	AMP	6	408	1.5%	No
POLR2M		15q21.3	HOMDEL	1	408	0.2%	No
TRGV2		7p14.1	AMP	8	408	2.0%	No
OGT		Xq13.1	AMP	3	408	0.7%	Yes
TRGV4		7p14.1	AMP	8	408	2.0%	No
IRX6		16q12.2	HOMDEL	2	408	0.5%	No
PUS3		11q24.2	AMP	1	408	0.2%	No
EFL1		15q25.2	HOMDEL	2	408	0.5%	No
CX3CL1		16q21	AMP	1	408	0.2%	No
RAET1E		6q25.1	HOMDEL	6	408	1.5%	No
ZNF790		19q13.12	AMP	14	408	3.4%	No
PHF6		Xq26.2	HOMDEL	2	408	0.5%	Yes
EPC2		2q23.1	AMP	1	408	0.2%	No
ZC3H12B		Xq11.2-q12	AMP	2	408	0.5%	No
NICN1		3p21.31	AMP	3	408	0.7%	No
DSN1		20q11.23	AMP	6	408	1.5%	No
ACTL6B		7q22.1	AMP	6	408	1.5%	No
POLR2L		11p15.5	HOMDEL	6	408	1.5%	No
RNU6-1		15q23	HOMDEL	1	408	0.2%	No
TRGV3		7p14.1	AMP	8	408	2.0%	No
LDLRAD3		11p13	HOMDEL	2	408	0.5%	No
LACTBL1		1p36.12	AMP	4	408	1.0%	No
WFIKKN2		17q21.33	AMP	13	408	3.2%	No
ZC3H12C		11q22.3	AMP	3	408	0.7%	No
UNC45B		17q12	HOMDEL	1	408	0.2%	No
PPP1R3A		7q31.1	AMP	6	408	1.5%	No
NOM1		7q36.3	AMP	3	408	0.7%	No
TRAV16		14q11.2	AMP	9	408	2.2%	No
TSBP1		6p21.32	AMP	8	408	2.0%	No
CABCOCO1		10q21.2	AMP	4	408	1.0%	No
PLXND1		3q22.1	AMP	5	408	1.2%	No
PHF7		3p21.1	HOMDEL	9	408	2.2%	No
RAB3B		1p32.3	AMP	7	408	1.7%	No
IGF2BP3		7p15.3	AMP	10	408	2.5%	No
IGLL1		22q11.23	AMP	9	408	2.2%	No
CANT1		17q25.3	AMP	9	408	2.2%	Yes
STAT3		17q21.2	AMP	5	408	1.2%	Yes
UNC45A		15q26.1	HOMDEL	3	408	0.7%	No
RN7SL188P		11p15.1	AMP	1	408	0.2%	No
DNAJB11		3q27.3	AMP	18	408	4.4%	No
SCARB2		4q21.1	AMP	8	408	2.0%	No
OLAH		10p13	AMP	15	408	3.7%	No
PIP5K1C		19p13.3	AMP	2	408	0.5%	No
PHGDH		1p12	AMP	11	408	2.7%	No
MAGEC1		Xq27.2	HOMDEL	2	408	0.5%	No
IL12A		3q25.33	AMP	15	408	3.7%	No
DEFB131A		4p16.1	AMP	3	408	0.7%	No
SNORA46		16q21	HOMDEL	3	408	0.7%	No
ZNF74		22q11.21	AMP	13	408	3.2%	No
DECR2		16p13.3	HOMDEL	5	408	1.2%	No
GPX1		3p21.31	AMP	3	408	0.7%	No
H3C6		6p22.2	HOMDEL	1	408	0.2%	Yes
GARIN1A		7q32.1	AMP	4	408	1.0%	No
RN7SL531P		2p25.3	HOMDEL	3	408	0.7%	No
HIVEP1		6p24.1	HOMDEL	2	408	0.5%	No
GPX2		14q23.3	AMP	1	408	0.2%	No
PPL		16p13.3	HOMDEL	9	408	2.2%	No
RN7SL841P		16q12.2	HOMDEL	2	408	0.5%	No
ARAP3		5q31.3	AMP	2	408	0.5%	No
PIP5K1B		9q21.11	AMP	3	408	0.7%	No
RN7SL498P		20p12.3	AMP	1	408	0.2%	No
CEMP1		16p13.3	HOMDEL	6	408	1.5%	No
STAT2		12q13.3	AMP	5	408	1.2%	Yes
IGF2BP2		3q27.2	AMP	17	408	4.2%	No
ZC3H12A		1p34.3	AMP	9	408	2.2%	No
RNA5SP488		21q11.2	HOMDEL	5	408	1.2%	No
ZBTB7C		18q21.1	AMP	4	408	1.0%	No
CHAT		10q11.23	AMP	5	408	1.2%	No
STRBP		9q33.3	HOMDEL	5	408	1.2%	No
CSNK1A1L		13q13.3	AMP	5	408	1.2%	No
RN7SL542P		7p15.3	AMP	11	408	2.7%	No
IL12B		5q33.3	AMP	1	408	0.2%	No
PPP1R37		19q13.32	AMP	10	408	2.5%	No
PLA2G6		22q13.1	HOMDEL	3	408	0.7%	No
TAAR3P		6q23.2	AMP	5	408	1.2%	No
LINC00899		22q13.31	HOMDEL	7	408	1.7%	No
ZNF76		6p21.31	AMP	4	408	1.0%	No
SNRNP25		16p13.3	HOMDEL	5	408	1.2%	No
TEX29		13q34	AMP	17	408	4.2%	No
FAM200C		5q33.3	AMP	2	408	0.5%	No
GARIN1B		7q32.1	AMP	4	408	1.0%	No
HIVEP2		6q24.2	HOMDEL	4	408	1.0%	No
MAGEC2		Xq27.2	HOMDEL	3	408	0.7%	No
CFAP263		16q21	HOMDEL	2	408	0.5%	No
PURG		8p12	AMP	1	408	0.2%	No
POGLUT2		13q33.1	AMP	11	408	2.7%	No
H3C8		6p22.2	HOMDEL	1	408	0.2%	Yes
STAT4		2q32.2-q32.3	AMP	5	408	1.2%	Yes
FBXL22		15q22.31	HOMDEL	2	408	0.5%	No
IMMP1L		11p13	HOMDEL	2	408	0.5%	No
RN7SL797P		6q16.1	HOMDEL	5	408	1.2%	No
ZBTB7B		1q21.3	AMP	22	408	5.4%	No
MKKS		20p12.2	AMP	2	408	0.5%	No
INKA2		1p13.2	AMP	5	408	1.2%	No
PLA2G7		6p12.3	HOMDEL	1	408	0.2%	No
CSNK1A1P1		15q14	AMP	3	408	0.7%	No
SPMIP10		5q23.2	HOMDEL	4	408	1.0%	No
ZNF77		19p13.3	AMP	3	408	0.7%	No
LINC00898		22q13.31	HOMDEL	8	408	2.0%	No
SCARB1		12q24.31	AMP	3	408	0.7%	No
DDX17		22q13.1	HOMDEL	3	408	0.7%	No
FAM157A		3q29	HOMDEL	1	408	0.2%	No
PPP1R36		14q23.3	AMP	1	408	0.2%	No
DECR1		8q21.3	HOMDEL	1	408	0.2%	No
H3C7		6p22.2	HOMDEL	1	408	0.2%	Yes
TTC12		11q23.2	HOMDEL	3	408	0.7%	No
POGLUT1		3q13.33	AMP	7	408	1.7%	No
RNA5SP487		20q13.2	HOMDEL	1	408	0.2%	No
WIF1		12q14.3	AMP	10	408	2.5%	Yes
IGF2BP1		17q21.32	AMP	6	408	1.5%	No
FAM200B		4p15.32	AMP	1	408	0.2%	No
ARAP2		4p14	AMP	1	408	0.2%	No
NR2E1		6q21	AMP	4	408	1.0%	No
ZBTB7A		19p13.3	AMP	1	408	0.2%	Yes
FANK1		10q26.2	AMP	2	408	0.5%	No
FOXQ1		6p25.3	AMP	4	408	1.0%	No
PPP1R12C		19q13.42	AMP	15	408	3.7%	No
SLC10A7		4q31.22	HOMDEL	2	408	0.5%	No
TTC16		9q34.11	HOMDEL	1	408	0.2%	No
INKA1		3p21.31	AMP	3	408	0.7%	No
ZNF71		19q13.4	AMP	15	408	3.7%	No
RN7SL221P		6p25.1	HOMDEL	2	408	0.5%	No
NAP1L6P		Xq13.2	AMP	2	408	0.5%	No
NETO2		16q12.1	HOMDEL	1	408	0.2%	No
ARAP1		11q13.4	AMP	19	408	4.7%	No
SCTR		2q14.2	HOMDEL	1	408	0.2%	No
PPP1R12B		1q32.1	AMP	2	408	0.5%	No
MAGEC3		Xq27.2	HOMDEL	2	408	0.5%	No
TAF11		6p21.31	HOMDEL	1	408	0.2%	No
TAS2R46		12p13.2	AMP	4	408	1.0%	No
TTC17		11p12-p11.2	HOMDEL	3	408	0.7%	No
TEX28		Xq28	AMP	9	408	2.2%	No
EDDM3B		14q11.2	AMP	6	408	1.5%	No
NETO1		18q22.3	HOMDEL	8	408	2.0%	No
IVL		1q21.3	AMP	31	408	7.6%	No
TMEM107		17p13.1	HOMDEL	7	408	1.7%	No
TRGV9		7p14.1	AMP	8	408	2.0%	No
TOP3A		17p11.2	HOMDEL	9	408	2.2%	No
PIP5K1A		1q21.3	AMP	40	408	9.8%	No
PLCB1		20p12.3	AMP	4	408	1.0%	No
STAT1		2q32.2	AMP	5	408	1.2%	Yes
ASF1B		19p13.12	AMP	2	408	0.5%	No
TAF10		11p15.4	HOMDEL	4	408	1.0%	No
TPRG1L		1p36.32	AMP	3	408	0.7%	No
TMEM108		3q22.1	HOMDEL	1	408	0.2%	No
SNORA41		2q33.3	HOMDEL	6	408	1.5%	No
SCNM1		1q21.3	AMP	40	408	9.8%	No
TEX26		13q12.3	AMP	11	408	2.7%	No
OR1M1		19p13.2	AMP	4	408	1.0%	No
PPP1R12A		12q21.2-q21.31	AMP	4	408	1.0%	No
RAB3D		19p13.2	AMP	4	408	1.0%	No
OR1L8		9q33.2	HOMDEL	4	408	1.0%	No
NEGR1		1p31.1	HOMDEL	3	408	0.7%	Yes
IMPG2		3q12.3	AMP	7	408	1.7%	No
APRT		16q24.3	AMP	7	408	1.7%	No
PLCB2		15q15.1	AMP	1	408	0.2%	No
MPDU1		17p13.1	AMP	1	408	0.2%	No
PMVK		1q21.3	HOMDEL	1	408	0.2%	No
ASF1A		6q22.31	AMP	1	408	0.2%	No
SLC10A6		4q21.3	HOMDEL	3	408	0.7%	No
TCP11		6p21.31	AMP	4	408	1.0%	No
IMPG1		6q14.1	AMP	1	408	0.2%	No
RAB3C		5q11.2	AMP	3	408	0.7%	No
OLIG1		21q22.11	AMP	5	408	1.2%	No
TOP3B		22q11.22	HOMDEL	2	408	0.5%	No
MTND1P15		17p11.2	AMP	15	408	3.7%	No
CHD4		12p13.31	AMP	6	408	1.5%	Yes
NMT1		17q21.31	AMP	4	408	1.0%	No
SMAD5		5q31.1	AMP	2	408	0.5%	No
DDX6		11q23.3	AMP	1	408	0.2%	Yes
FAM138F		19p13.3	AMP	1	408	0.2%	No
UNCX		7p22.3	AMP	13	408	3.2%	No
POLR2C		16q21	HOMDEL	2	408	0.5%	No
NUMA1		11q13.4	AMP	16	408	3.9%	Yes
TAF15		17q12	HOMDEL	1	408	0.2%	Yes
MTA2		11q12.3	HOMDEL	1	408	0.2%	No
FNTB		14q23.3	AMP	1	408	0.2%	No
FANCD2OS		3p25.3	AMP	38	408	9.3%	No
INAVA		1q32.1	AMP	10	408	2.5%	No
PDCD2L		19q13.11	AMP	14	408	3.4%	No
RAB1B		11q13.2	AMP	6	408	1.5%	No
ARL13B		3q11.1-q11.2	HOMDEL	3	408	0.7%	No
MICAL1		6q21	HOMDEL	8	408	2.0%	No
DHX36		3q25.2	AMP	14	408	3.4%	No
SLC10A3		Xq28	HOMDEL	4	408	1.0%	No
IDS		Xq28	HOMDEL	2	408	0.5%	No
CLPTM1L		5p15.33	HOMDEL	2	408	0.5%	No
FAM138E		15q26.3	AMP	4	408	1.0%	No
MLX		17q21.2	AMP	4	408	1.0%	No
SLC41A1		1q32.1	HOMDEL	2	408	0.5%	No
NMT2		10p13	AMP	15	408	3.7%	No
DHX35		20q11.23-q12	AMP	6	408	1.5%	No
SNORA72		8q22.2	HOMDEL	2	408	0.5%	No
TAS2R43		12p13.2	AMP	4	408	1.0%	No
APPBP2		17q23.2	AMP	16	408	3.9%	No
RAB1A		2p14	AMP	9	408	2.2%	No
ITIH1		3p21.1	AMP	3	408	0.7%	No
ARL13A		Xq22.1	HOMDEL	2	408	0.5%	No
CHD5		1p36.31	AMP	3	408	0.7%	No
DHX34		19q13.32	AMP	3	408	0.7%	No
SORL1		11q24.1	AMP	1	408	0.2%	No
TAF4B		18q11.2	AMP	8	408	2.0%	No
OR8U1		11q12.1	HOMDEL	2	408	0.5%	No
LMNTD2		11p15.5	HOMDEL	8	408	2.0%	No
POLR2A		17p13.1	HOMDEL	7	408	1.7%	No
RIN1		11q13.2	AMP	6	408	1.5%	No
FAM138D		12p13.33	AMP	6	408	1.5%	No
PLAC9		10q22.3	HOMDEL	4	408	1.0%	No
TEX22		14q32.33	AMP	5	408	1.2%	No
MAPK15		8q24.3	AMP	20	408	4.9%	No
CRYGD		2q33.3	HOMDEL	5	408	1.2%	No
ZMAT1		Xq22.1	AMP	4	408	1.0%	No
CCDC28A		6q24.1	AMP	7	408	1.7%	No
CHD6		20q12	AMP	8	408	2.0%	No
TAF13		1p13.3	HOMDEL	1	408	0.2%	No
LMNTD1		12p12.1	HOMDEL	1	408	0.2%	No
FAH		15q25.1	AMP	1	408	0.2%	No
RIN2		20p11.23	AMP	1	408	0.2%	No
LGMN		14q32.12	AMP	2	408	0.5%	No
PLEKHN1		1p36.33	AMP	3	408	0.7%	No
RN7SL177P		5q33.2	HOMDEL	1	408	0.2%	No
TXK		4p12	AMP	3	408	0.7%	No
RN7SL217P		3p21.31	AMP	3	408	0.7%	No
DHX33		17p13.2	AMP	2	408	0.5%	No
PLAC8		4q21.22	HOMDEL	3	408	0.7%	No
MDC1		6p21.33	AMP	12	408	2.9%	Yes
FNTA		8p11.21	AMP	30	408	7.4%	No
PIMREG		17p13.2	AMP	2	408	0.5%	No
MTA1		14q32.33	HOMDEL	8	408	2.0%	No
